namecode,gnisid,town,geoclass,income_to_afford_02001,income_to_afford_02002,income_to_afford_02003,income_to_afford_02004,income_to_afford_11999,income_to_afford_12000,income_to_afford_12001,income_to_afford_12002,income_to_afford_12003,income_to_afford_12004,income_to_afford_21999,income_to_afford_22000,income_to_afford_22001,income_to_afford_22002,income_to_afford_22003,income_to_afford_22004,income_to_afford_32000,income_to_afford_32001,income_to_afford_32002,income_to_afford_32003,income_to_afford_32004,income_to_afford_42001,income_to_afford_42002,income_to_afford_42003,income_to_afford_42004,income_to_afford_02005,income_to_afford_12005,income_to_afford_22005,income_to_afford_32005,income_to_afford_42005,income_to_afford_02006,income_to_afford_12006,income_to_afford_22006,income_to_afford_32006,income_to_afford_42006,income_to_afford_02008,income_to_afford_12008,income_to_afford_22008,income_to_afford_32008,income_to_afford_42008,income_to_afford_02009,income_to_afford_12009,income_to_afford_22009,income_to_afford_32009,income_to_afford_42009,income_to_afford_02010,income_to_afford_12010,income_to_afford_22010,income_to_afford_32010,income_to_afford_42010,income_to_afford_02011,income_to_afford_12011,income_to_afford_22011,income_to_afford_32011,income_to_afford_42011,income_to_afford_02012,income_to_afford_12012,income_to_afford_22012,income_to_afford_32012,income_to_afford_42012,income_to_afford_02013,income_to_afford_12013,income_to_afford_22013,income_to_afford_32013,income_to_afford_42013,avg_wage1978,avg_wage1979,avg_wage1980,avg_wage1981,avg_wage1982,avg_wage1983,avg_wage1984,avg_wage1985,avg_wage1986,avg_wage1987,avg_wage1988,avg_wage1989,avg_wage1990,avg_wage1991,avg_wage1992,avg_wage1993,avg_wage1994,avg_wage1995,avg_wage1996,avg_wage1997,avg_wage1998,avg_wage1999,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate1990,unemployment_rate1991,unemployment_rate1992,unemployment_rate1993,unemployment_rate1994,unemployment_rate1995,unemployment_rate1996,unemployment_rate1997,unemployment_rate1998,unemployment_rate1999,unemployment_rate2000,unemployment_rate2001,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012
1005,1462023,Addison,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,6009,6336,6331,7757,7207,7834,8431,8753,9546,9519,10765,10873,11918,12073,12682,14453,14552,13566,16404,16444,15997,18404,17657,20439,22157,23620,24273,24702,24594,25768,24883,24808,29140,3.5,5.9,5.2,6.5,6.3,4,4.7,3.2,2.3,2.9,2.9,3.9,6.8,7.9,6.1,5.9,5.5,5.7,5.9,5.4,4.4,4.3,3.7
1010,1462051,Bridport,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,4934,5145,5857,7155,8176,7904,8822,9094,10812,11600,13505,22721,14526,16269,15906,13964,12779,18467,19665,29385,22771,22107,23988,22429,19886,22473,23697,23730,22548,22326,22018,22004,23345,6.7,7.9,7.7,4.8,5.2,5.2,5.5,4.7,3.2,3.7,3.9,4.7,4.7,5.1,4,4.2,3.7,4,5.1,6.2,6.2,5.6,3.8
1015,1462053,Bristol,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,7464,7807,8358,8765,9485,10092,10512,10348,10121,10915,11675,11889,12134,13508,14359,14415,14559,14814,15164,15411,16909,16725,17798,19406,19388,20155,26121,26201,29747,27616,26788,30223,37137,12.6,14,14.2,14.5,15.5,14.3,14.6,13.8,11.8,12.1,5.9,5.8,6.8,8.2,7.1,7.5,8.1,8.4,8.9,10.6,9.9,8.7,7.4
1020,1462076,Cornwall,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,8293,9517,11976,11888,13028,14058,13747,15068,15225,15508,15729,12119,11336,17990,23266,23215,21396,22941,31866,37037,32425,31379,31415,27997,26020,26041,24833,26181,26618,25773,24236,26637,24573,0.5,1.5,1.4,1.8,1.4,1,2.5,1,1.4,3.3,4.3,9.8,13.4,15.3,12.9,12.4,13.3,10.4,7.3,6.9,8.5,5.7,4.4
1025,1462098,Ferrisburg,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,8638,9250,9672,10187,10695,11615,12964,14166,15686,18222,17897,18518,21795,20309,24812,21156,22646,23651,23990,27017,28217,28383,28980,31831,30971,32290,32308,32110,34312,36071,38795,38934,41598,5.7,6.6,8.5,5.5,5.8,5,6,5.9,4.3,4,3.1,4.6,4.5,5.5,3.7,3.5,2.9,3.7,4.8,8.7,7.7,7.5,7
1030,1462104,Goshen,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,,,8063,16824,,,,,8244,9587,9416,10932,10254,8808,,,,,,,13551,14161,,,,,,,,,,,,3.5,2.8,6.4,2.4,3.3,1.8,1.2,3.6,2.2,2.6,2,3,2,3,2,2.5,3.5,3.5,3.5,6.3,4.8,6.2,4
1035,1462108,Granville,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24490,18627,36659,,,,,,,,,,,0,,0,0,11.8,12.5,0,6.3,0,0,0,0,0
1040,1462114,Hancock,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL
1045,1462132,Leicester,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,6821,7588,8403,8727,9679,11590,11019,12907,11256,9432,9453,10392,12001,14694,15925,16689,15630,12776,14680,13893,15948,15707,16092,17933,17414,18511,18144,20572,21867,22584,22297,22801,22422,4.2,6.7,7.3,7.5,5.1,6.5,5.5,4.4,2.9,3.2,2.6,2.9,4.1,4.1,3.1,3.6,3.5,3.4,4,6.4,4.4,3.9,3.8
1050,1462135,Lincoln,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,,,,,,,,,5195,,,,,,,,,,,,,,,,,,,,,,,,,0,1.8,3.7,3.7,1.9,2.6,2.5,2.5,2.8,2.8,1.8,2.3,2.9,1.8,2.3,2.3,2.3,1.7,1.7,5,3.5,3.7,7.3
1055,1462146,Middlebury,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,7261,6321,6473,7020,7954,8981,8096,8543,10121,12065,12848,14356,13935,15965,16453,17588,19798,19618,22816,21246,22163,22983,25818,28012,27665,28297,27030,27370,29847,33299,34382,32714,32054,2.2,1.8,1.8,1.4,1,2,1.6,1.3,1,1,1.8,2.1,1.9,2.1,2.2,2,1.9,2.1,2.3,3.1,3.6,2.5,2.3
1060,1462150,Monkton,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,9916,10274,11009,11996,13005,12315,12298,12144,12237,12677,12877,13014,13697,15289,15969,17476,18113,18951,19420,19602,19926,23143,24725,23612,24781,24022,25225,26367,26921,27840,29080,29218,30719,3.3,4.8,6.6,7,5.4,4.8,3.5,2.8,3.6,2,2.4,2.5,3.8,4.4,3.6,3.8,3.1,3.6,4.3,5.5,4.8,5.7,5.4
1065,1462160,New Haven,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,9791,10360,11253,12186,12788,13777,14481,14952,15664,16521,17283,18380,18300,18851,20053,20537,21061,21436,21620,22549,23855,24779,25363,26795,28012,28960,30199,30843,32038,33900,35518,35914,37625,8.5,11.7,11.2,8.9,8.3,7.7,7.9,8.2,6,5.5,4,5.6,7.6,8.2,6.9,5.7,5.4,5.6,6.5,11.4,10.9,9.4,8.6
1070,1462168,Orwell,t,17760,18280,18520,18120,20200,20560,21400,22040,22360,22680,23480,23920,24920,25640,26000,27280,33360,34720,35760,36280,35880,38960,40080,40640,47840,18880,23640,28440,37400,49880,19840,24840,29880,39280,52400,21080,26360,31720,41720,55640,23000,28800,34640,45560,60760,23160,29000,34880,45880,61160,24840,31080,37400,49200,65600,25160,31480,37880,49800,66440,29680,32280,38280,53080,64160,10496,11468,12746,13090,14649,15199,15983,16662,16658,17356,19469,19447,21515,22026,22797,24721,24698,24520,25422,25464,25793,28601,31303,31296,31034,29899,33338,34157,34063,34615,34545,35652,37472,4.9,6.3,5.6,4.9,4,3.9,4,4.4,3.2,2.3,2.2,2.7,3.5,3.4,2.9,2.8,2.9,3.1,3.4,4.5,4.1,4.1,3.6
