namecode,town,mun_tax_rate2002,mun_tax_rate2003,mun_tax_rate2004,mun_tax_rate2005,mun_tax_rate2006,mun_tax_rate2007,mun_tax_rate2008,mun_tax_rate2009,mun_tax_rate2010,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,owner_occ_homes20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20072011
1005,Addison,0.42,0.45,0.45,0.39,0.49,0.27,0.33,0.3,0.35,0.34,123200,222500,234000,23.5,23.6,552,26,481
1010,Bridport,0.45,0.2939,0.3197,0.4334,0.3932,0.4441,0.5064,0.5944,0.5637,0.4598,114100,217200,233200,22.4,22.8,413,22.7,429
1015,Bristol,0.633,0.631,0.7,0.7434,0.5113,0.5333,0.5391,0.5537,0.5621,0.5625,109000,203400,217400,21,21.4,1057,22.1,1183
1020,Cornwall,0.22,0.26,0.3,0.34,0.37,0.43,0.43,0.44,0.3302,0.3402,152000,248900,308300,19.7,22.9,357,22.7,366
1025,Ferrisburg,0.4258,0.361,0.43,0.5563,0.1982,0.2382,0.2343,0.2666,0.2622,0.2667,140800,292300,281100,22.3,21.4,868,27.2,889
1030,Goshen,0.622,0.435,0.512,0.4602,0.492,0.69,0.8875,0.8899,0.6704,0.8309,109600,190000,258900,23.3,29.1,64,24.3,61
1035,Granville,0.606,0.721,0.48,0.68,0.48,0.51,0.68,0.38,0.3458,0.41,81800,149500,209500,20.2,23.6,121,21.9,110
1040,Hancock,0.69,0.79,0.9251,1.0248,0.8249,1.0281,0.9986,0.8627,0.8332,0.77,87100,129200,133900,17.3,22.2,141,21.4,130
1045,Leicester,0.38,0.38,0.33,0.33,0.3397,0.543,0.1669,0.19,0.1836,0.1845,91900,176700,184200,19,23.2,369,20.7,348
1050,Lincoln,0.518,0.466,0.517,0.3941,0.4025,0.4652,0.4769,0.6538,0.6354,0.6245,113000,222400,237500,21.5,22.9,401,22.7,390
1055,Middlebury,0.8568,0.8877,0.9576,1.0003,0.689,0.7361,0.7908,0.8075,0.8091,0.8124,120200,194800,219600,20.6,21.9,1698,23.4,1681
1060,Monkton,0.41,0.54,0.56,0.52,0.36,0.42,0.4455,0.5088,0.5088,0.4186,121300,240700,242400,21.2,22.8,643,23.9,705
1065,New Haven,0.59,0.54,0.409,0.63,0.4703,0.6017,0.5259,0.4816,0.4862,0.5043,128500,233800,265400,21.9,24.1,536,26.3,569
1070,Orwell,0.51,0.5,0.63,0.5065,0.4265,0.5188,0.4596,0.4813,0.4617,0.5698,115800,196500,212500,20.2,22.4,354,24.5,391
1075,Panton,0.43,0.4421,0.6547,0.1425,0.412,0.3765,0.5662,0.6105,0.5972,0.527,124700,243200,242400,18.9,21.1,167,22.7,177
1080,Ripton,0.43,0.45,0.42,0.3,0.2423,0.3483,0.4415,0.5811,0.528,0.5905,113400,209400,238800,20.2,22.4,162,23.8,143
1085,Salisbury,0.24,0.216,0.315,0.5387,0.2,0.1999,0.2612,0.2338,0.1934,0.2694,122200,184000,198200,22.1,17.8,342,21.5,376
1090,Shoreham,0.52,0.5704,0.576,0.77,0.8,0.8,0.44,0.455,0.4542,0.4605,112300,207100,238900,22.2,22.7,356,22.2,380
1095,Starksboro,0.58,0.62,0.66,0.6776,0.7346,0.3811,0.3872,0.428,0.4449,0.4346,103400,181500,207400,20.2,21.7,671,22.5,615
1100,Vergennes,0.61,0.65,0.68,0.9406,1.008,1.0663,0.5652,0.6029,0.603,0.6032,95600,182900,182800,21.2,25.7,535,23.8,579
1105,Waltham,0.37,0.38,0.4,0.58,0.32,0.35,0.39,0.43,0.38,0.38,133500,238300,257500,19.4,20.1,177,22.4,193
1110,Weybridge,0.49,0.57,0.57,0.61,0.69,0.38,0.39,0.39,0.36,0.4,143200,308500,341300,18.8,21.1,263,22.7,264
1115,Whiting,0.73,0.58,0.63,0.6059,0.8567,0.73,0.6497,0.7046,0.7564,0.7595,95500,184400,180000,25,19.5,141,18.5,132
3005,Arlington,0.36,0.37,0.36,0.3926,0.3678,0.2619,0.265,0.265,0.285,0.28,140300,223800,224900,19.8,23.6,857,26.1,796
3010,Bennington,0.86,0.848,0.859,0.8911,0.6079,0.8291,0.8149,0.76,0.7524,0.7826,94900,155400,162300,19.9,22.6,3895,22.6,3748
3015,Dorset,0.24,0.235,0.2,0.203,0.1862,0.1525,0.1364,0.1842,0.182,0.1493,210300,473600,451400,19.4,25.3,824,25.5,748
3018,Glastenbury,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,0,125000,,,,,0,,0
3020,Landgrove,0.23,0.23,0.2225,0.24,0.34,0.33,0.3725,0.2725,0.318,0.233,322700,434400,479500,18.8,31.1,63,30.1,77
3025,Manchester,0.197,0.237,0.247,0.2617,0.171,0.187,0.1856,0.1632,0.1684,0.171,175500,348100,341700,23.2,24.3,1397,24.9,1562
3030,Peru,0.1979,0.2566,0.2584,0.2853,0.24,0.3106,0.2788,0.1659,0.1851,0.1999,200000,259700,393200,13.2,23,93,26.3,117
3035,Pownal,0.6236,0.6756,0.6989,0.7599,0.5221,0.5316,0.5455,0.5331,0.5716,0.5844,91000,162400,169900,20.8,18.3,1010,20.7,1121
3040,Readsboro,1.095,1.16,1.2078,1.1828,1.2337,1.2677,1.164,1.3813,0.7758,0.873,78600,144700,170300,16.9,22.6,241,22.7,256
3045,Rupert,0.645,0.62,0.37,0.4337,0.3545,0.438,0.4629,0.2953,0.297,0.3076,127700,255800,269200,24,24.1,419,25.1,338
3050,Sandgate,0.67,0.59,0.51,0.666,0.6162,0.3268,0.5,0.4867,0.5079,0.4731,113800,208300,224300,21.1,19.6,110,24.3,143
3055,Searsburg,0.65,0.98,0.87,0.72,0.6815,0.7847,0.86,1.092,0.7272,0.6158,86700,118300,157500,23.3,20.8,67,30.6,55
3060,Shaftsbury,0.527,0.3993,0.42,0.4084,0.4392,0.4436,0.4696,0.5091,0.5236,0.3235,117300,193400,220200,20.4,21,1312,21.3,1265
3065,Stamford,0.6,0.6634,0.69,0.7049,0.5271,0.5363,0.5404,0.5661,0.6356,0.5325,115200,181400,203600,18,19.9,308,23,300
3070,Sunderland,0.41,0.44,0.35,0.349,0.3693,0.4017,0.2576,0.3073,0.2441,0.2136,113600,228200,253500,21.4,23.5,352,25.1,355
3075,Winhall,0.35,0.33,0.295,0.2775,0.2726,0.2953,0.3415,0.3815,0.3835,0.31,178100,312000,331300,15.5,18.4,201,24.5,228
3080,Woodford,0.135,0.189,0.136,0.0585,0.0641,0.045,0.2087,0.0242,0.0472,0.0152,91300,143100,151000,17.3,22.9,103,22.3,104
5005,Barnet,0.42,0.393,0.419,0.4983,0.511,0.572,0.6021,0.4379,0.4591,0.4444,91200,158600,167000,20.7,22.1,564,21.1,584
5010,Burke,0.48,0.49,0.57,0.58,0.57,0.32,0.36,0.38,0.3404,0.34,88500,167800,191000,21.9,21.3,471,19.3,553
5015,Danville,0.6905,0.7461,0.763,0.8,0.8241,0.4375,0.4657,0.477,0.4457,0.4447,99000,162000,166200,18.6,21.9,790,21.2,845
5020,Groton,0.48,0.45,0.56,0.5905,0.3654,0.4131,0.4207,0.475,0.4072,0.384,85900,128800,137100,19.9,23.6,306,24.6,304
5025,Hardwick,1.1443,1.1915,1.1826,1.2313,1.3457,0.9248,0.9294,0.9519,0.9654,0.9923,77100,120700,119700,18.9,22.3,1001,18.6,954
5030,Kirby,0.5775,0.65,0.67,0.805,0.681,0.6327,0.8042,0.3971,0.4339,0.3809,95300,175000,198300,22.3,20,150,19.2,144
5035,Lyndon,0.94,1.01,1,1.0115,0.584,0.6149,0.6341,0.6307,0.6517,0.6506,85500,130900,146700,19,21.2,1328,21.3,1376
5040,Newark,0.676,0.65,0.69,0.8131,0.531,0.6143,0.42,0.458,0.4828,0.4661,78400,161000,167300,22.1,21.4,160,19.9,186
5045,Peacham,0.765,0.765,0.54,0.5888,0.6075,0.6534,0.6478,0.6996,0.3606,0.477,122700,212900,252400,23.3,26.4,323,22.9,259
5050,Ryegate,0.48,0.44,0.36,0.47,0.46,0.4476,0.5636,0.6265,0.469,0.4717,83700,128600,143100,19.7,18.5,435,19.2,424
5055,St. Johnsbury,0.8749,0.856,1.393,0.953,0.965,1.0015,1.0493,1.1059,0.6886,0.6718,81100,147100,150200,21.1,23.6,1630,20.9,1853
5060,Sheffield,0.7606,0.581,0.7123,0.5568,0.5818,0.6474,0.7654,0.7823,0.7108,0.7095,78600,108700,135900,21.7,27.3,197,26.1,183
5065,Stannard,1.08,1.01,1.36,1.2962,1.373,1.24,0.7191,0.8947,0.781,0.8159,67000,91300,148400,14.4,37.5,74,21.1,65
5070,Sutton,0.73,0.5858,0.6345,0.6345,0.64,0.65,0.79,0.82,0.35,0.4332,80200,112500,122800,21.1,23.4,276,25.4,349
5075,Walden,0.582,0.541,0.567,0.6805,0.7987,0.5025,0.5248,0.5148,0.6045,0.5677,88800,142400,159400,20.9,25.9,292,27,309
5080,Waterford,0.39,0.33,0.48,0.43,0.34,0.34,0.3413,0.3614,0.3214,0.3316,111100,211900,223100,16.1,21.4,431,21.4,466
5085,Wheelock,0.67,0.66,0.59,0.6,0.8,0.87,0.79,0.61,0.6,0.6242,82500,142000,165100,16.7,18.9,221,21.3,231
7005,Bolton,0.81,0.85,0.86,0.8,0.8,0.46,0.48,0.5407,0.5262,0.52,101200,206200,201500,19.6,23,401,22.9,399
7010,Buels Gore,,,,,,1,0.223,0.5,0,0,92500,,187500,9.9,,3,14.3,12
7015,Burlington,0.8506,0.9187,0.9866,1.0566,0.63,0.67,0.67,0.67,0.712,0.72,127600,249900,258600,19.5,25.7,6088,25.1,6965
7020,Charlotte,0.27,0.25,0.25,0.2,0.2237,0.2279,0.2124,0.1863,0.1592,0.182,263100,424600,477300,20.5,23,1244,24,1206
7025,Colchester,0.7156,0.7346,0.5987,0.6217,0.6555,0.6776,0.7154,0.733,0.7423,0.7387,131300,223500,237300,20.6,23.3,4768,21.7,4579
7030,Essex,0.446,0.457,0.474,0.502,0.5387,0.6145,0.4002,0.4012,0.4066,0.4179,141400,247400,264300,20.1,23,5753,23.3,6106
7035,Hinesburg,0.5521,0.6005,0.6242,0.6233,0.5904,0.35,0.4039,0.4482,0.4512,0.4384,132000,237500,278900,23.7,22.4,1612,21.3,1541
7040,Huntington,0.835,0.77,0.9,1.01,0.5831,0.5831,0.6539,0.6792,0.5845,0.5144,117200,218000,239800,22,23.2,717,24,724
7045,Jericho,0.7928,0.5701,0.5588,0.5917,0.3112,0.3454,0.4034,0.4513,0.4484,0.4514,145800,244500,261600,21.8,22.6,1622,20.6,1608
7050,Milton,0.6,0.6,0.61,0.6005,0.6198,0.3427,0.3643,0.3938,0.3925,0.3896,120500,222400,242200,21.6,23.4,3082,24.4,3184
7055,Richmond,0.72,0.78,0.56,0.5064,0.5776,0.6013,0.6498,0.5098,0.5556,0.5647,132000,231400,240000,18.2,22.1,1426,21.9,1314
7060,St. George,0.11,0.13,0.2,0.18,0.17,0.2663,0.2379,0.3172,0.1752,0.2848,105800,188900,210600,18.7,27.5,230,32.5,250
7065,Shelburne,0.512,0.538,0.395,0.415,0.427,0.448,0.451,0.3222,0.3203,0.3203,179700,328900,345100,18.2,20,2299,22.1,2166
7070,South Burlington,0.568,0.568,0.548,0.618,0.631,0.393,0.4052,0.3437,0.3606,0.3622,134700,243900,271500,20.4,24,5212,23.6,4982
7075,Underhill,0.6,0.58,0.59,0.6,0.4127,0.4371,0.4467,0.4379,0.4526,0.4536,157000,276200,292300,19.4,22.1,1039,21.6,1032
7080,Westford,0.9716,0.8949,0.4721,0.5736,0.5844,0.5955,0.5607,0.6167,0.4695,0.4547,131800,240700,256600,21.1,23.9,721,24.6,735
7085,Williston,0.328,0.1,0.08,0.08,0.117,0.1759,0.2314,0.2,0.2,0.21,159200,295500,298700,19.4,22.3,2739,21.8,2844
7090,Winooski,1.0253,1.0881,1.1652,1.2339,1.2894,1.3782,0.79,0.79,0.87,0.8911,115000,206000,213100,20.1,23.9,1064,23.9,1183
9005,Averill,0.0701,0.1166,0.157,0.6543,0.3687,0.641,0.2033,0.1097,0.1633,0.1165,562500,,,12.5,,0,,3
9010,Avery's Gore,0.0701,0.1166,0.157,0.4662,0.1596,0.4585,0.05,0.05,0.0641,0.05,,,,,,0,,0
9015,Bloomfield,0.28,0.305,0.331,0.3171,0.31,0.547,0.588,0.3294,0.3274,0.3399,70600,113400,134400,13.8,19.4,85,22.5,85
