town,avg_an_wage2001,avg_an_wage2002,avg_an_wage2003,avg_an_wage2004,avg_an_wage2005,avg_an_wage2006,avg_an_wage2007,avg_an_wage2008,avg_an_wage2009,avg_an_wage2010,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011,unemp_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011,avg_commute_2000,total_crime_per_1000,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,popn2000,perc_bach_2000,EDUCATION,INCOME,POVERTY,HOUSING,COMMUTE,CRIME,TAXES,EMPLOYMENT,,,,,,,,,,
5,15540.95,17183.5,17324.9,17585.5,19121.9,20209.4,20655.45,20634.4,19314.9,20489.75,2,1.9,1.93,1.6,1.8,2.07,2.27,2.66,2.42,2,0.16675,72710,116110,130780,16.18,18.55,19.5,52.7,59,425,550.6,619,19.12,18.18,19.6,16.9145,22.773,2.498,18.885,5.931,21.037,44.568,9,33.64,3.324,106.4,2.722,,,,,,,,,,,,,,,,,,
95,33157.8,34264.85,35414.55,36986.95,38930.05,40201.6,41960.85,43940.6,44108.4,43916.5,9.925,8.265,7.57,9.09,8.9,9.36,11.76,10.84,9.86,8.98,0.87537,174690,324220,340860,23.62,26.5,27.2,2154.8,2162.5,727,1099.4,1194.8,35.24,47.36,41.62,33.4255,200.54,17.166,29.833,19.688,41.317,52.793,52.421,45.33,311.219,7765.5,21.705,,,,,,,,,,,,,,,,,,
Addison,20439,22157,23620,24273,24702,24594,25768,24883,24808,29140,7.9,6.1,5.9,5.5,5.7,5.9,5.4,4.4,4.3,3.7,0.34,123200,222500,234000,23.5,23.6,26,552,481,733,861,1094,30.7,27.5,45,30.92,29.43,4.81,28.64,10.27,28.57,48.34,41.73,35.9,33.38,1393,14.86,0.639414213,0.369246694,0.842377966,0.001173667,0.15174732,0.962552105,0.755510711,0.621380846,,,,,,,,,,
Albany,22429,19886,22473,23697,23730,22548,22326,22018,22004,23345,5.1,4,4.2,3.7,4,5.1,6.2,6.2,5.6,3.8,0.3778,76300,131900,152100,18.4,23.1,28.7,264,318,517,633,668,48,39.5,22,31.03,34.52,15.12,26.43,10.71,23.93,48.25,38.48,38,21.83,840,7.5,0.251698888,0.121879902,0.139487319,0.34810149,0.145085095,0.933919119,0.702167593,0.599109131,,,,,,,,,,
Alburg,19406,19388,20155,26121,26201,29747,27616,26788,30223,37137,8.2,7.1,7.5,8.1,8.4,8.9,10.6,9.9,8.7,7.4,0.6243,84900,164900,183700,21.4,25.4,24.6,676,619,600,726,764,29,27.9,28.9,36.85,104,12.76,25.36,14.04,32.07,47.16,29.3,38.5,66.61,1952,5.12,0.126323553,0.710608599,0.300381783,0.457659507,0,0.543070424,0.354308374,0,,,,,,,,,,
Andover,27997,26020,26041,24833,26181,26618,25773,24236,26637,24573,15.3,12.9,12.4,13.3,10.4,7.3,6.9,8.5,5.7,4.4,0.32,161200,243800,263500,21.1,22,24.9,163,165,538,675,,31.7,15.8,31.1,24.19,48.39,8.27,19.35,19.96,31.05,46.98,28.77,44.6,17.24,496,17.34,0.77005742,0.174298612,0.606490319,0.3882244,0.55935437,0.855895639,0.783734583,0.465478842,,,,,,,,,,
Arlington,31831,30971,32290,32308,32110,34312,36071,38795,38934,41598,5.5,3.7,3.5,2.9,3.7,4.8,8.7,7.7,7.5,7,0.28,140300,223800,224900,19.8,23.6,26.1,857,796,545,680,870,27,25.2,26.2,21.57,61.33,7.22,23.03,16.48,27.83,50.61,42.42,42,56.51,2397,13.93,0.59042301,0.90103194,0.67807472,0.421564811,0.718036461,0.783103726,0.840182326,0,,,,,,,,,,
Athens,,,,,,,,,,,3,2,2.5,3.5,3.5,3.5,6.3,4.8,6.2,4,0.87,102500,124600,142200,13.3,22.7,22.1,121,119,475,,631,16.3,,,25.73,114.71,12.06,21.18,7.65,31.76,50.29,13.04,40.6,26.07,340,8.82,0.321234789,0,0.348104718,1,0.466083217,0.482823021,0.00757811,0.554565702,,,,,,,,,,
Averill,,,,,,,,24490,18627,36659,0,11.8,12.5,0,6.3,0,0,0,0,0,0.1165,562500,,,12.5,,,0,3,,,,,,,17.33,"1,125.00",0,25,25,0,62.5,36.14,42,0.22,8,0,0,0.690204574,1,1,0.974834959,0,1,1,,,,,,,,,,
Avery's Gore,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.05,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,17.57,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,
Bakersfield,17933,17414,18511,18144,20572,21867,22584,22297,22801,22422,4.1,3.1,3.6,3.5,3.4,4,6.4,4.4,3.9,3.8,0.3556,97900,172700,204600,21.7,23.5,23.5,387,447,592,837,1074,21,29.3,36.1,32.59,41.15,9.3,30.7,8.72,25.35,46.53,44.59,35.2,27.25,1215,8.64,0.311752621,0.082480498,0.53626943,0.36560034,0.050602629,0.896623108,0.733496091,0.599109131,,,,,,,,,,
Baltimore,,,,,,,,,,,1.8,2.3,2.3,2.3,1.7,1.7,5,3.5,3.7,7.3,0.4269,100000,160700,160900,19.5,23.6,24.8,94,75,575,550,817,25,20,34.2,17.95,32,8,24.8,10.4,35.2,42.69,4.67,37,53.52,250,2.8,0.00410894,0,0.624897737,0.324327353,0.937284235,0.948094978,0.632877988,0,,,,,,,,,,
Barnard,28012,27665,28297,27030,27370,29847,33299,34382,32714,32054,2.1,2.2,2,1.9,2.1,2.3,3.1,3.6,2.5,2.3,0.25,151200,336700,340200,18.5,22.4,19.8,368,350,679,990,1326,25.7,29,39.4,25.12,36.53,6.26,23.38,13.05,28.91,52,48.7,42.5,19.67,958,16.6,0.731075173,0.493634414,0.743523316,0.5309282,0.503028284,0.922612183,0.882518134,0.933184855,,,,,,,,,,
Barnet,23612,24781,24022,25225,26367,26921,27840,29080,29218,30719,4.4,3.6,3.8,3.1,3.6,4.3,5.5,4.8,5.7,5.4,0.4444,91200,158600,167000,20.7,22.1,21.1,564,584,553,708,950,25.6,33.9,32.5,26.74,44.97,11.89,26.75,14.02,33.61,49.1,42.39,40.4,39.87,1690,11.78,0.477163778,0.436648276,0.359694573,0.603188365,0.404911877,0.875134305,0.6081821,0.242761693,,,,,,,,,,
