town,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,2000_population,perc_bach_2000,avg_commute_2000,total_crime_per_1000,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
ADDISON,4.81,28.64,10.27,28.57,48.34,41.73,35.9,33.38,1393,14.86,30.92,29.43,17657,20439,22157,23620,24273,24702,24594,25768,24883,24808,29140,6.8,7.9,6.1,5.9,5.5,5.7,5.9,5.4,4.4,4.3,3.7,0.34,123200,222500,234000,23.5,23.6,26,552,481,155,588,733,861,1094,35.1,30.7,27.5,45
ALBANY,15.12,26.43,10.71,23.93,48.25,38.48,38,21.83,840,7.5,31.03,34.52,19603,20365,20706,21117,23925,25538,25269,26027,27847,28637,27514,3.4,2.7,2.1,3.3,4.5,4.4,5,5.9,5.7,5.1,5.8,0.3778,76300,131900,152100,18.4,23.1,28.7,264,318,217,316,517,633,668,17.3,48,39.5,22
ALBURGH,12.76,25.36,14.04,32.07,47.16,29.3,38.5,66.61,1952,5.12,36.85,104,,,,,,,,,,,,14.8,19.2,15.7,9.5,4.1,4.7,3.8,4.3,3.2,2.2,2.3,0.6243,84900,164900,183700,21.4,25.4,24.6,676,619,203,339,600,726,764,30.2,29,27.9,28.9
ANDOVER,8.27,19.35,19.96,31.05,46.98,28.77,44.6,17.24,496,17.34,24.19,48.39,21176,22304,24429,25144,26550,27588,28318,28873,30189,32744,33947,3.3,3.3,2.8,3.5,5.4,5.2,7.1,11.3,10.4,9.9,9.1,0.32,161200,243800,263500,21.1,22,24.9,163,165,225,325,538,675,,16,31.7,15.8,31.1
ARLINGTON,7.22,23.03,16.48,27.83,50.61,42.42,42,56.51,2397,13.93,21.57,61.33,22817,24283,25565,26196,26563,29104,30231,31931,32928,32867,33175,3.5,3.9,3.9,3.7,3.6,3.8,4.4,8,7.6,5.9,5.7,0.28,140300,223800,224900,19.8,23.6,26.1,857,796,247,434,545,680,870,25.8,27,25.2,26.2
ATHENS,12.06,21.18,7.65,31.76,50.29,13.04,40.6,26.07,340,8.82,25.73,114.71,22252,22400,23634,24601,25613,26943,27436,28920,30542,29069,28612,4.6,5,3.7,5,6.3,6.5,6.9,10.3,10.5,9,7.1,0.87,102500,124600,142200,13.3,22.7,22.1,121,119,185,425,475,,631,35.1,16.3,,
AVERILL,0,25,25,0,62.5,36.14,42,0.22,8,0,17.33,"1,125.00",22187,23444,22547,25425,26498,26578,27185,29063,29595,30609,33257,3.9,3.9,3.2,3.2,3.6,3.6,4.1,3.8,2.5,NULL,NULL,0.1165,562500,,,12.5,,,0,3,,,,,,,,,
AVERY'S GORE,0,0,0,0,0,17.57,0,0,0,0,,0,17724,18869,20029,19764,18922,21685,21929,23401,25623,24444,25001,2.2,2.4,1.8,1.8,1.7,1.6,1.9,2.2,1.9,1.7,1.6,0.05,,,,,,,0,0,,,,,,,,,
BAKERSFIELD,9.3,30.7,8.72,25.35,46.53,44.59,35.2,27.25,1215,8.64,32.59,41.15,28385,29948,30260,30038,30519,31852,33280,33718,35223,33877,35642,2,2.4,2.3,2,1.8,2.2,2.7,4.4,4.6,3.6,3.3,0.3556,97900,172700,204600,21.7,23.5,23.5,387,447,189,392,592,837,1074,26.3,21,29.3,36.1
BALTIMORE,8,24.8,10.4,35.2,42.69,4.67,37,53.52,250,2.8,17.95,32,22559,21943,22985,24793,20934,22071,23100,23743,27085,28513,26252,2.9,3,2.3,2.4,2.4,2.4,3,5.8,6.5,4.8,3.7,0.4269,100000,160700,160900,19.5,23.6,24.8,94,75,,388,575,550,817,13.6,25,20,34.2
