town,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
Addison,155,588,733,861,1094,35.1,30.7,27.5,45
Bridport,229,449,588,1016,934,18,21.8,25.7,15.3
Bristol,226,441,545,795,802,24,21.9,29.7,28.9
Cornwall,279,447,675,981,911,19.6,27.5,25.8,28.3
Ferrisburg,247,454,613,1256,907,24.1,20.1,29.7,31.4
Goshen,165,350,517,982,1067,16.7,33.3,21.5,20.6
Granville,185,313,608,629,912,13.2,25,50,26.6
Hancock,206,369,633,523,713,23.8,21.7,50,38.8
Leicester,236,585,613,736,1053,24.7,27,31.9,39.3
Lincoln,185,457,544,839,879,34.3,21.6,28.1,27.8
Middlebury,236,491,537,758,797,30.6,25,31.7,31.1
Monkton,228,525,688,1313,1091,35.1,24,33.9,35
New Haven,233,472,583,781,970,24.5,22,26.3,30.8
Orwell,209,488,594,448,517,28.2,26.8,18.8,21
Panton,225,475,613,1156,1289,35.1,20,27.9,33.1
Ripton,290,536,621,880,850,24.4,24.1,43.3,28.8
Salisbury,204,502,613,848,875,18.6,23,28.9,44
Shoreham,161,478,538,782,850,32.5,19.5,31.8,
Starksboro,250,422,600,880,1024,35.1,21.9,26.1,27.3
Vergennes,220,385,555,695,736,27,27,31,30
Waltham,308,491,617,779,1075,17.9,28.3,19.4,31.5
Weybridge,260,490,563,888,992,28.3,19.1,18.5,18.5
Whiting,160,413,588,800,786,35.1,27.5,24.1,22.3
Arlington,247,434,545,680,870,25.8,27,25.2,26.2
Bennington,222,422,518,678,745,31.3,29.8,32.3,35.7
Dorset,254,539,713,941,866,25.3,24.3,29.5,40.3
Glastenbury,,,,,,,,,
Landgrove,90,469,725,708,725,29.4,12.5,24.4,30
Manchester,228,477,613,702,704,26.9,23,28.4,36
Peru,185,492,667,942,1010,24.4,30,36.4,36.3
Pownal,233,438,534,687,670,31.2,27.9,26.8,25.6
Readsboro,170,339,340,586,617,24.3,25.9,33.3,29.8
Rupert,124,486,625,917,1051,27.1,28.8,19.2,36.3
Sandgate,225,388,617,938,639,35.1,50,21.1,18.9
Searsburg,,425,625,,,25,17.5,,
Shaftsbury,259,456,550,765,801,16.7,24,26,24.8
Stamford,254,345,550,706,850,15.5,16.7,30.8,36.1
Sunderland,228,450,675,992,726,35.1,25,14.7,14.9
Winhall,350,580,727,867,938,25,22.5,29,21.3
Woodford,252,550,547,964,1100,27.5,42.5,31.9,34.5
Barnet,195,393,553,708,950,23.5,25.6,33.9,32.5
Burke,211,407,448,586,716,25.2,25.4,26.9,28.7
Danville,162,327,391,635,434,25,20.3,21,28.4
Groton,176,395,450,483,463,35.1,26.8,26.5,28.7
Hardwick,164,363,437,684,742,27.2,26.7,41.5,41.1
Kirby,185,383,640,800,925,21.7,14,18.1,18.8
Lyndon,198,349,423,615,690,25.9,23.7,27.4,31.7
Newark,181,413,445,650,717,35.1,21.9,20,
Peacham,203,344,675,831,619,24.4,30,27.7,30.6
Ryegate,235,469,615,825,850,17.1,28.8,14.9,19
St. Johnsbury,189,331,409,559,581,28,27.9,28.4,34.4
Sheffield,219,413,531,611,546,32.5,28.1,35.9,24.5
Stannard,,425,513,696,745,35.1,50.1,31.7,30.5
Sutton,227,387,594,636,646,35.1,31.9,25.5,34
Walden,220,292,538,917,625,35.1,21.3,23.1,27.1
Waterford,204,406,631,865,857,22.5,15.9,18.9,20
Wheelock,185,,563,727,774,,21.3,28,21.6
Bolton,278,518,850,742,1073,21.8,27.5,36.9,27.5
Buels Gore,,,,,,,,,
Burlington,243,493,618,893,965,30.1,29.4,36.4,36.7
Charlotte,277,566,666,1566,1144,21.7,29.3,33.2,36.1
Colchester,290,550,691,937,989,23.7,24,31.1,31.9
Essex,289,569,711,954,1034,23.9,24.6,29.4,31.5
