town,avg_commute1980,avg_commute1990,avg_commute_2000
HYDE PARK,19.75976331,20.6328976,25.69624573
HUNTINGTON,28.81838565,28.94871795,32.0964467
HUBBARDTON,23.64953271,26.91561181,31.11607143
HOLLAND,10.24102564,17.14285714,22.48815166
HINESBURG,21.73312402,21.0442623,23.58466178
HARTLAND,18.47249775,18.97135417,20.96725288
IRA,18.40853659,20.87437186,22.82178218
HIGHGATE,18.10579065,20.1253112,27.30351438
IRASBURG,11.56797583,18.446875,16.60358566
ISLE LA MOTTE,35.81617647,29.32432432,39.32692308
JAMAICA,15.53020134,19.50157729,22.15481172
JAY,15.83443709,23.5,27.86516854
JERICHO,23.75337187,21.02,24.77041776
JOHNSON,15.45381166,19.11627907,22.87976729
HARTFORD,15.15030364,15.16484238,19.30820054
KIRBY,16.94444444,20.28965517,19.49339207
GRANBY,28.07142857,31.82692308,60.51724138
KILLINGTON,13.12593985,14.21134021,19.93620415
GRAND ISLE,24.57425743,29.45933014,32.89609053
FLETCHER,21.96078431,30.60948081,34.50915141
FRANKLIN,18.39795918,25.62757202,28.89430894
GEORGIA,23.15931593,23.43313154,24.77931342
GLASTENBURY,,,24.375
GLOVER,15.02348993,18.92833876,23.76179245
GOSHEN,14.20930233,27.56164384,29.20792079
GRANVILLE,14.54471545,21.19259259,22.40740741
LYNDON,14.51645065,12.17235637,18.0789689
HARDWICK,21.67783784,23.91446208,27.11382114
LANDGROVE,16.91111111,19.6,24.26829268
GREENSBORO,21.99183673,20.83161512,26.56126482
GROTON,21.80063291,23.53614458,27.90575916
GUILDHALL,11.20289855,18.92473118,16.18181818
GUILFORD,19.34599156,17.96080508,23.15369261
HALIFAX,21.88584475,28.31272727,29.84195402
HANCOCK,17.86086957,21.23333333,20.42253521
GRAFTON,16.85766423,22.27667984,24.6953405
NEWBURY,18.58689024,20.84703196,25.30813953
MONTPELIER,14.41964777,13.17488676,19.19393939
MORETOWN,19.84782609,19.67315716,25.81947743
MORGAN,19.47317073,20.18811881,25.06711409
MORRISTOWN,15.04069119,16.20756547,22.13152401
MOUNT HOLLY,24.70460048,21.42465753,24.11433172
MOUNT TABOR,19.36363636,23.14678899,22.39361702
LUDLOW,18.03369673,16.05248092,17.61986301
NEWARK,27.85714286,25.46575342,32.27488152
MILTON,23.49767905,23.23590504,25.31551012
NEWFANE,18.94360902,21.8218232,24.83243968
NEWPORT CITY,12.32900433,12.65146971,16.20317821
NEWPORT TOWN,18.39078156,16.97894737,23.10294118
NORTH HERO,33.18041237,29.30143541,36.86104218
NORTHFIELD,17.03965863,18.93057352,21.0877193
NORTON,27.80769231,17.875,23.06451613
NORWICH,13.2190396,15.92917847,19.71446701
NEW HAVEN,12.69691781,21.41531664,22.1001221
MANCHESTER,13.49405879,11.82467126,14.81713427
LEMINGTON,13.33333333,19.14634146,23.80597015
LEWIS,,,
LINCOLN,24.52023121,28.14849188,30.46266234
LONDONDERRY,14.07518797,15.60061444,21.13196126
LOWELL,23.6031746,27.43373494,34.48943662
FERRISBURG,17.63709677,23.08979948,24.97342445
LUNENBURG,18.41044776,20.6975,24.5609319
MONTGOMERY,26.19215686,20.48732394,33.31218274
MAIDSTONE,10,14.32307692,31.08695652
MONKTON,23.16604478,23.44617564,30.71741512
MARLBORO,18.99632353,16.76297968,23.50198413
MARSHFIELD,25.28650647,23.94579439,27.0335277
MENDON,15.66945607,13.86266925,19.90601504
MIDDLEBURY,13.5139141,12.56169277,15.06357728
MIDDLESEX,20.05514706,23.25268817,23.65800866
MIDDLETOWN SPRINGS,26.6,26.63190184,30.58495822
LEICESTER,20.45047923,19.18041237,27.10084034
EDEN,22.58798283,28.7172619,32.33615222
BRIDGEWATER,20.73783784,18.85790885,21.18336887
BERLIN,15.4056696,16.41417592,21.22956909
